[setup] output_dir=experiments/synthetic/range_comparison/models/range_followup
[setup] device=cpu
[setup] structural_channel=rwse
[data] generating fixed validation, ID-test, and OOD-test sets
[depth 3 | epoch 001] train_loss=0.8013 val: loss=0.7963 node_acc=0.3402 exact=0.0000 f1=0.4901 pos=0.317 pred_pos=0.977 | ID: loss=0.7991 node_acc=0.3416 exact=0.0000 f1=0.4891 pos=0.315 pred_pos=0.974 | OOD: loss=0.8277 node_acc=0.2761 exact=0.0000 f1=0.2922 pos=0.149 pred_pos=0.873
[depth 3 | epoch 012] train_loss=0.2276 val: loss=0.1403 node_acc=0.9372 exact=0.3438 f1=0.9077 pos=0.317 pred_pos=0.363 | ID: loss=0.1397 node_acc=0.9382 exact=0.3633 f1=0.9086 pos=0.315 pred_pos=0.360 | OOD: loss=0.2713 node_acc=0.8537 exact=0.0000 f1=0.6270 pos=0.149 pred_pos=0.243
[depth 3 | epoch 013] train_loss=0.2072 val: loss=0.1763 node_acc=0.9141 exact=0.2461 f1=0.8804 pos=0.317 pred_pos=0.401 | ID: loss=0.1743 node_acc=0.9143 exact=0.2559 f1=0.8799 pos=0.315 pred_pos=0.399 | OOD: loss=0.2443 node_acc=0.8599 exact=0.0000 f1=0.6335 pos=0.149 pred_pos=0.233
[depth 3 | epoch 014] train_loss=0.2044 val: loss=0.1266 node_acc=0.9431 exact=0.3887 f1=0.9133 pos=0.317 pred_pos=0.340 | ID: loss=0.1235 node_acc=0.9440 exact=0.4102 f1=0.9140 pos=0.315 pred_pos=0.336 | OOD: loss=0.2511 node_acc=0.8755 exact=0.0000 f1=0.6587 pos=0.149 pred_pos=0.215
[depth 3 | epoch 015] train_loss=0.2074 val: loss=0.1143 node_acc=0.9487 exact=0.4355 f1=0.9240 pos=0.317 pred_pos=0.359 | ID: loss=0.1084 node_acc=0.9519 exact=0.4678 f1=0.9281 pos=0.315 pred_pos=0.354 | OOD: loss=0.2679 node_acc=0.8574 exact=0.0000 f1=0.6478 pos=0.149 pred_pos=0.256
[depth 3 | epoch 016] train_loss=0.1735 val: loss=0.1131 node_acc=0.9468 exact=0.4355 f1=0.9217 pos=0.317 pred_pos=0.362 | ID: loss=0.1101 node_acc=0.9469 exact=0.4375 f1=0.9215 pos=0.315 pred_pos=0.360 | OOD: loss=0.2022 node_acc=0.8892 exact=0.0000 f1=0.6657 pos=0.149 pred_pos=0.182
[depth 3 | epoch 017] train_loss=0.1656 val: loss=0.0970 node_acc=0.9610 exact=0.5469 f1=0.9399 pos=0.317 pred_pos=0.331 | ID: loss=0.0964 node_acc=0.9600 exact=0.5635 f1=0.9376 pos=0.315 pred_pos=0.325 | OOD: loss=0.2158 node_acc=0.8959 exact=0.0010 f1=0.6358 pos=0.149 pred_pos=0.136
[depth 3 | epoch 018] train_loss=0.1376 val: loss=0.0798 node_acc=0.9648 exact=0.5820 f1=0.9467 pos=0.317 pred_pos=0.343 | ID: loss=0.0771 node_acc=0.9673 exact=0.6328 f1=0.9500 pos=0.315 pred_pos=0.340 | OOD: loss=0.2499 node_acc=0.8757 exact=0.0010 f1=0.6692 pos=0.149 pred_pos=0.226
[depth 3 | epoch 019] train_loss=0.1170 val: loss=0.1314 node_acc=0.9468 exact=0.4590 f1=0.9224 pos=0.317 pred_pos=0.368 | ID: loss=0.1274 node_acc=0.9483 exact=0.4805 f1=0.9240 pos=0.315 pred_pos=0.365 | OOD: loss=0.3228 node_acc=0.8461 exact=0.0000 f1=0.6532 pos=0.149 pred_pos=0.294
[depth 3 | epoch 020] train_loss=0.1286 val: loss=0.0882 node_acc=0.9645 exact=0.5664 f1=0.9461 pos=0.317 pred_pos=0.342 | ID: loss=0.0875 node_acc=0.9650 exact=0.5918 f1=0.9464 pos=0.315 pred_pos=0.337 | OOD: loss=0.2321 node_acc=0.8816 exact=0.0020 f1=0.6846 pos=0.149 pred_pos=0.226
[depth 3 | epoch 021] train_loss=0.0993 val: loss=0.1058 node_acc=0.9589 exact=0.5723 f1=0.9391 pos=0.317 pred_pos=0.358 | ID: loss=0.1008 node_acc=0.9596 exact=0.5830 f1=0.9398 pos=0.315 pred_pos=0.355 | OOD: loss=0.2733 node_acc=0.8638 exact=0.0010 f1=0.6706 pos=0.149 pred_pos=0.264
[depth 3 | epoch 022] train_loss=0.1134 val: loss=0.1744 node_acc=0.9295 exact=0.3145 f1=0.8997 pos=0.317 pred_pos=0.386 | ID: loss=0.1747 node_acc=0.9285 exact=0.3203 f1=0.8978 pos=0.315 pred_pos=0.385 | OOD: loss=0.2863 node_acc=0.8582 exact=0.0000 f1=0.6593 pos=0.149 pred_pos=0.267
[depth 3 | epoch 023] train_loss=0.1220 val: loss=0.0849 node_acc=0.9655 exact=0.6367 f1=0.9481 pos=0.317 pred_pos=0.348 | ID: loss=0.0764 node_acc=0.9679 exact=0.6699 f1=0.9512 pos=0.315 pred_pos=0.343 | OOD: loss=0.1967 node_acc=0.8966 exact=0.0039 f1=0.6981 pos=0.149 pred_pos=0.193
[depth 3 | epoch 024] train_loss=0.1066 val: loss=0.0870 node_acc=0.9632 exact=0.5645 f1=0.9424 pos=0.317 pred_pos=0.321 | ID: loss=0.0855 node_acc=0.9645 exact=0.5996 f1=0.9440 pos=0.315 pred_pos=0.319 | OOD: loss=0.2359 node_acc=0.8914 exact=0.0029 f1=0.6623 pos=0.149 pred_pos=0.172
[depth 3 | epoch 025] train_loss=0.1050 val: loss=0.0760 node_acc=0.9678 exact=0.6680 f1=0.9514 pos=0.317 pred_pos=0.346 | ID: loss=0.0685 node_acc=0.9701 exact=0.6875 f1=0.9543 pos=0.315 pred_pos=0.340 | OOD: loss=0.2293 node_acc=0.8799 exact=0.0029 f1=0.6822 pos=0.149 pred_pos=0.229
[depth 3 | epoch 026] train_loss=0.0982 val: loss=0.0635 node_acc=0.9734 exact=0.6875 f1=0.9588 pos=0.317 pred_pos=0.328 | ID: loss=0.0595 node_acc=0.9741 exact=0.7217 f1=0.9596 pos=0.315 pred_pos=0.326 | OOD: loss=0.2191 node_acc=0.8894 exact=0.0000 f1=0.6834 pos=0.149 pred_pos=0.200
[depth 3 | epoch 027] train_loss=0.0888 val: loss=0.0687 node_acc=0.9713 exact=0.6875 f1=0.9565 pos=0.317 pred_pos=0.343 | ID: loss=0.0620 node_acc=0.9729 exact=0.7080 f1=0.9585 pos=0.315 pred_pos=0.338 | OOD: loss=0.2874 node_acc=0.8596 exact=0.0020 f1=0.6563 pos=0.149 pred_pos=0.259
[depth 3 | epoch 028] train_loss=0.0857 val: loss=0.0770 node_acc=0.9652 exact=0.6055 f1=0.9478 pos=0.317 pred_pos=0.350 | ID: loss=0.0702 node_acc=0.9675 exact=0.6387 f1=0.9508 pos=0.315 pred_pos=0.344 | OOD: loss=0.2760 node_acc=0.8469 exact=0.0010 f1=0.6528 pos=0.149 pred_pos=0.291
[depth 3 | epoch 029] train_loss=0.0865 val: loss=0.0630 node_acc=0.9732 exact=0.6914 f1=0.9586 pos=0.317 pred_pos=0.329 | ID: loss=0.0586 node_acc=0.9763 exact=0.7305 f1=0.9630 pos=0.315 pred_pos=0.326 | OOD: loss=0.1863 node_acc=0.8999 exact=0.0078 f1=0.6969 pos=0.149 pred_pos=0.181
[depth 3 | epoch 030] train_loss=0.0762 val: loss=0.0914 node_acc=0.9582 exact=0.5684 f1=0.9382 pos=0.317 pred_pos=0.359 | ID: loss=0.0838 node_acc=0.9604 exact=0.5977 f1=0.9409 pos=0.315 pred_pos=0.355 | OOD: loss=0.3065 node_acc=0.8375 exact=0.0000 f1=0.6373 pos=0.149 pred_pos=0.299
[depth 3 | epoch 031] train_loss=0.0852 val: loss=0.0765 node_acc=0.9668 exact=0.6543 f1=0.9502 pos=0.317 pred_pos=0.349 | ID: loss=0.0683 node_acc=0.9699 exact=0.6885 f1=0.9544 pos=0.315 pred_pos=0.344 | OOD: loss=0.2442 node_acc=0.8780 exact=0.0010 f1=0.6986 pos=0.149 pred_pos=0.255
[depth 3 | epoch 032] train_loss=0.0755 val: loss=0.0739 node_acc=0.9714 exact=0.7031 f1=0.9567 pos=0.317 pred_pos=0.343 | ID: loss=0.0631 node_acc=0.9738 exact=0.7305 f1=0.9599 pos=0.315 pred_pos=0.339 | OOD: loss=0.2215 node_acc=0.8959 exact=0.0078 f1=0.7063 pos=0.149 pred_pos=0.205
[depth 3 | epoch 033] train_loss=0.0808 val: loss=0.0769 node_acc=0.9679 exact=0.6250 f1=0.9517 pos=0.317 pred_pos=0.348 | ID: loss=0.0721 node_acc=0.9690 exact=0.6494 f1=0.9530 pos=0.315 pred_pos=0.344 | OOD: loss=0.3365 node_acc=0.8447 exact=0.0000 f1=0.6465 pos=0.149 pred_pos=0.290
[depth 3 | epoch 034] train_loss=0.0751 val: loss=0.0688 node_acc=0.9723 exact=0.6934 f1=0.9579 pos=0.317 pred_pos=0.342 | ID: loss=0.0598 node_acc=0.9749 exact=0.7266 f1=0.9615 pos=0.315 pred_pos=0.338 | OOD: loss=0.2440 node_acc=0.8870 exact=0.0020 f1=0.6973 pos=0.149 pred_pos=0.224
[depth 3 | epoch 035] train_loss=0.0740 val: loss=0.0577 node_acc=0.9745 exact=0.7402 f1=0.9608 pos=0.317 pred_pos=0.334 | ID: loss=0.0519 node_acc=0.9769 exact=0.7617 f1=0.9642 pos=0.315 pred_pos=0.330 | OOD: loss=0.2173 node_acc=0.8909 exact=0.0039 f1=0.6986 pos=0.149 pred_pos=0.213
[depth 3 | epoch 036] train_loss=0.0748 val: loss=0.0679 node_acc=0.9703 exact=0.6738 f1=0.9549 pos=0.317 pred_pos=0.340 | ID: loss=0.0629 node_acc=0.9726 exact=0.7061 f1=0.9580 pos=0.315 pred_pos=0.336 | OOD: loss=0.2364 node_acc=0.8813 exact=0.0029 f1=0.6940 pos=0.149 pred_pos=0.239
[depth 3 | epoch 037] train_loss=0.0783 val: loss=0.0548 node_acc=0.9745 exact=0.7012 f1=0.9606 pos=0.317 pred_pos=0.332 | ID: loss=0.0518 node_acc=0.9761 exact=0.7324 f1=0.9628 pos=0.315 pred_pos=0.329 | OOD: loss=0.2797 node_acc=0.8951 exact=0.0049 f1=0.6594 pos=0.149 pred_pos=0.159
[depth 3 | epoch 038] train_loss=0.0768 val: loss=0.0524 node_acc=0.9750 exact=0.7148 f1=0.9617 pos=0.317 pred_pos=0.335 | ID: loss=0.0500 node_acc=0.9762 exact=0.7236 f1=0.9633 pos=0.315 pred_pos=0.332 | OOD: loss=0.2279 node_acc=0.8783 exact=0.0010 f1=0.6885 pos=0.149 pred_pos=0.241
[depth 3 | epoch 039] train_loss=0.0762 val: loss=0.0623 node_acc=0.9722 exact=0.7188 f1=0.9577 pos=0.317 pred_pos=0.341 | ID: loss=0.0543 node_acc=0.9750 exact=0.7344 f1=0.9617 pos=0.315 pred_pos=0.337 | OOD: loss=0.2833 node_acc=0.8645 exact=0.0010 f1=0.6733 pos=0.149 pred_pos=0.265
[depth 3 | epoch 040] train_loss=0.0677 val: loss=0.0673 node_acc=0.9692 exact=0.6836 f1=0.9534 pos=0.317 pred_pos=0.344 | ID: loss=0.0594 node_acc=0.9719 exact=0.7041 f1=0.9571 pos=0.315 pred_pos=0.340 | OOD: loss=0.3250 node_acc=0.8439 exact=0.0000 f1=0.6348 pos=0.149 pred_pos=0.278
[depth 3 | epoch 041] train_loss=0.0737 val: loss=0.0493 node_acc=0.9755 exact=0.7500 f1=0.9624 pos=0.317 pred_pos=0.335 | ID: loss=0.0442 node_acc=0.9787 exact=0.7832 f1=0.9670 pos=0.315 pred_pos=0.331 | OOD: loss=0.2534 node_acc=0.8674 exact=0.0029 f1=0.6830 pos=0.149 pred_pos=0.269
[depth 3 | epoch 042] train_loss=0.0739 val: loss=0.0516 node_acc=0.9760 exact=0.7324 f1=0.9632 pos=0.317 pred_pos=0.333 | ID: loss=0.0464 node_acc=0.9788 exact=0.7607 f1=0.9671 pos=0.315 pred_pos=0.329 | OOD: loss=0.1983 node_acc=0.8882 exact=0.0020 f1=0.7119 pos=0.149 pred_pos=0.239
[depth 3 | epoch 043] train_loss=0.0795 val: loss=0.0608 node_acc=0.9744 exact=0.7324 f1=0.9603 pos=0.317 pred_pos=0.329 | ID: loss=0.0536 node_acc=0.9771 exact=0.7646 f1=0.9643 pos=0.315 pred_pos=0.327 | OOD: loss=0.3435 node_acc=0.8852 exact=0.0029 f1=0.6715 pos=0.149 pred_pos=0.200
[depth 3 | epoch 044] train_loss=0.0687 val: loss=0.0525 node_acc=0.9749 exact=0.7461 f1=0.9616 pos=0.317 pred_pos=0.337 | ID: loss=0.0491 node_acc=0.9765 exact=0.7578 f1=0.9637 pos=0.315 pred_pos=0.333 | OOD: loss=0.2593 node_acc=0.8655 exact=0.0010 f1=0.6828 pos=0.149 pred_pos=0.275
[depth 3 | epoch 045] train_loss=0.0694 val: loss=0.0548 node_acc=0.9740 exact=0.7129 f1=0.9605 pos=0.317 pred_pos=0.340 | ID: loss=0.0508 node_acc=0.9747 exact=0.7266 f1=0.9611 pos=0.315 pred_pos=0.336 | OOD: loss=0.2537 node_acc=0.8813 exact=0.0010 f1=0.6948 pos=0.149 pred_pos=0.239
[depth 3 | epoch 046] train_loss=0.0686 val: loss=0.0563 node_acc=0.9742 exact=0.7363 f1=0.9606 pos=0.317 pred_pos=0.337 | ID: loss=0.0517 node_acc=0.9764 exact=0.7598 f1=0.9636 pos=0.315 pred_pos=0.333 | OOD: loss=0.2541 node_acc=0.8737 exact=0.0039 f1=0.6681 pos=0.149 pred_pos=0.231
[depth 3 | epoch 047] train_loss=0.0601 val: loss=0.0609 node_acc=0.9724 exact=0.7305 f1=0.9578 pos=0.317 pred_pos=0.338 | ID: loss=0.0542 node_acc=0.9752 exact=0.7627 f1=0.9618 pos=0.315 pred_pos=0.333 | OOD: loss=0.2030 node_acc=0.8897 exact=0.0049 f1=0.7189 pos=0.149 pred_pos=0.243
[depth 3 | epoch 048] train_loss=0.0600 val: loss=0.0670 node_acc=0.9740 exact=0.7227 f1=0.9606 pos=0.317 pred_pos=0.341 | ID: loss=0.0594 node_acc=0.9758 exact=0.7383 f1=0.9628 pos=0.315 pred_pos=0.337 | OOD: loss=0.3067 node_acc=0.8619 exact=0.0020 f1=0.6705 pos=0.149 pred_pos=0.270
[depth 3 | epoch 049] train_loss=0.0684 val: loss=0.0535 node_acc=0.9732 exact=0.7344 f1=0.9592 pos=0.317 pred_pos=0.341 | ID: loss=0.0471 node_acc=0.9765 exact=0.7607 f1=0.9639 pos=0.315 pred_pos=0.336 | OOD: loss=0.2281 node_acc=0.8692 exact=0.0010 f1=0.6899 pos=0.149 pred_pos=0.273
[depth 3 | epoch 050] train_loss=0.0647 val: loss=0.0491 node_acc=0.9779 exact=0.7676 f1=0.9661 pos=0.317 pred_pos=0.335 | ID: loss=0.0462 node_acc=0.9782 exact=0.7822 f1=0.9663 pos=0.315 pred_pos=0.331 | OOD: loss=0.2687 node_acc=0.8846 exact=0.0039 f1=0.6701 pos=0.149 pred_pos=0.200
[depth 3 | epoch 051] train_loss=0.0708 val: loss=0.0500 node_acc=0.9761 exact=0.7598 f1=0.9636 pos=0.317 pred_pos=0.338 | ID: loss=0.0451 node_acc=0.9778 exact=0.7773 f1=0.9658 pos=0.315 pred_pos=0.334 | OOD: loss=0.2449 node_acc=0.8782 exact=0.0049 f1=0.6895 pos=0.149 pred_pos=0.243
[depth 3 | epoch 052] train_loss=0.0585 val: loss=0.0472 node_acc=0.9768 exact=0.7539 f1=0.9646 pos=0.317 pred_pos=0.338 | ID: loss=0.0424 node_acc=0.9789 exact=0.7783 f1=0.9675 pos=0.315 pred_pos=0.333 | OOD: loss=0.2116 node_acc=0.8824 exact=0.0020 f1=0.7081 pos=0.149 pred_pos=0.254
[depth 3 | epoch 053] train_loss=0.0605 val: loss=0.0585 node_acc=0.9703 exact=0.7070 f1=0.9552 pos=0.317 pred_pos=0.346 | ID: loss=0.0517 node_acc=0.9733 exact=0.7393 f1=0.9593 pos=0.315 pred_pos=0.341 | OOD: loss=0.2509 node_acc=0.8615 exact=0.0020 f1=0.6755 pos=0.149 pred_pos=0.277
[depth 3 | epoch 054] train_loss=0.0630 val: loss=0.0466 node_acc=0.9779 exact=0.7832 f1=0.9661 pos=0.317 pred_pos=0.335 | ID: loss=0.0426 node_acc=0.9792 exact=0.7949 f1=0.9680 pos=0.315 pred_pos=0.333 | OOD: loss=0.2108 node_acc=0.8842 exact=0.0039 f1=0.7022 pos=0.149 pred_pos=0.239
[depth 3 | epoch 055] train_loss=0.0629 val: loss=0.0487 node_acc=0.9768 exact=0.7520 f1=0.9644 pos=0.317 pred_pos=0.336 | ID: loss=0.0464 node_acc=0.9776 exact=0.7676 f1=0.9655 pos=0.315 pred_pos=0.334 | OOD: loss=0.2443 node_acc=0.8849 exact=0.0020 f1=0.7057 pos=0.149 pred_pos=0.242
[depth 3 | epoch 056] train_loss=0.0695 val: loss=0.0484 node_acc=0.9771 exact=0.7480 f1=0.9650 pos=0.317 pred_pos=0.336 | ID: loss=0.0469 node_acc=0.9770 exact=0.7568 f1=0.9645 pos=0.315 pred_pos=0.332 | OOD: loss=0.2883 node_acc=0.8886 exact=0.0049 f1=0.6581 pos=0.149 pred_pos=0.176
[depth 3 | epoch 057] train_loss=0.0652 val: loss=0.0565 node_acc=0.9740 exact=0.7422 f1=0.9606 pos=0.317 pred_pos=0.343 | ID: loss=0.0497 node_acc=0.9764 exact=0.7617 f1=0.9639 pos=0.315 pred_pos=0.338 | OOD: loss=0.2826 node_acc=0.8617 exact=0.0010 f1=0.6709 pos=0.149 pred_pos=0.271
[depth 3 | epoch 058] train_loss=0.0611 val: loss=0.0644 node_acc=0.9692 exact=0.7090 f1=0.9537 pos=0.317 pred_pos=0.347 | ID: loss=0.0587 node_acc=0.9705 exact=0.7178 f1=0.9552 pos=0.315 pred_pos=0.344 | OOD: loss=0.4155 node_acc=0.7892 exact=0.0000 f1=0.5853 pos=0.149 pred_pos=0.359
[depth 3 | epoch 059] train_loss=0.0621 val: loss=0.0536 node_acc=0.9749 exact=0.7480 f1=0.9618 pos=0.317 pred_pos=0.341 | ID: loss=0.0492 node_acc=0.9765 exact=0.7637 f1=0.9639 pos=0.315 pred_pos=0.337 | OOD: loss=0.2835 node_acc=0.8633 exact=0.0029 f1=0.6644 pos=0.149 pred_pos=0.258
[depth 3 | epoch 060] train_loss=0.0615 val: loss=0.0544 node_acc=0.9753 exact=0.7383 f1=0.9625 pos=0.317 pred_pos=0.340 | ID: loss=0.0491 node_acc=0.9770 exact=0.7529 f1=0.9646 pos=0.315 pred_pos=0.336 | OOD: loss=0.2509 node_acc=0.8819 exact=0.0029 f1=0.7016 pos=0.149 pred_pos=0.246
[done] best summary
depth=3 params=155908 best_epoch=54 val_exact=0.7832 ID_exact=0.7949 OOD_exact=0.0039
[done] wrote experiments/synthetic/range_comparison/models/range_followup
